word,count
想起,23
狂,21
石火,2
走,103
如其,1
邁進,1
興奮,3
親朋,4
心跳,6
酸,1
真知,2
回扣,3
然後繼續,1
支配,2
包圍,2
聖哲,2
顆糖合,3
手撫,8
哄哄,4
當海,4
消化,5
翅膀,40
炎,1
劃成,4
厭世氣,6
愛你現,2
那麼,67
著線,3
灰背,2
賢妻,2
常旋轉,2
別,13
那傷,2
不過,6
隱埋,8
海上,3
土地,3
笑容,12
躲,21
生,12
很長,4
汪洋,11
夢作,1
不停,14
大夢葉落,4
瞭解,18
總,23
蛋,2
放出,7
輕放,2
葉,4
漂流,18
嘹亮,2
如燈,2
偌大,8
絕色,2
化成,21
弦月,2
幻象,4
梢,2
像,180
空缺,1
各站,5
懂夜,4
照亮,4
悶死,1
你現,10
畫面,21
童年,9
厭倦,7
還在,30
挑逗,4
所醉昏,2
重重,3
漂浮,31
輕蔑,2
上山,4
相時間,4
逞強,4
從什麼,3
缺點,4
已無法,6
死罪,2
淚滴,2
儀電,1
喜悅,6
用錯,2
心事,3
徵華麗,4
不和協,3
敏感,2
放到,4
不可,14
美夢成,3
變成,65
動態,1
青蛙,2
一碗,2
收進,2
來會,1
鉛筆,2
次寧願,3
同款,2
熱烈,2
麻煩,6
在給,3
轉過,2
那種,12
無言,2
拋在,2
給你想,2
迷戀,2
蝴蝶,36
暫,1
太,38
萬,5
線索,4
我點,3
澱,22
粉,4
愉快,4
你們,3
枯死,7
痛苦,9
全球,4
腦袋,4
這張,2
音,1
問不會,4
以後在,2
期盼,2
超載,4
低頭,6
但,27
作祟,2
感動,7
楊,1
初衷,2
烏,5
遙來,2
運走,2
美好,44
蒸發,6
眼裡,3
然後黑,4
總尬,1
幽浮,4
踩入,2
不去,6
盤旋,8
深深,11
探順,3
直覺,5
容貌,4
不忘記,2
梧桐,4
葬,2
遊戲,15
午後時,2
不誠實,3
一笑,2
掉頭,2
如春,2
香格里拉,2
靶,2
井,2
零瞬間,4
字眼,3
鷽,1
裂痕,2
落下,1
太陽,14
滾出,11
圓時候,6
一生一世,10
澆,5
飛魚,1
瘋,7
正飛舞,3
經歷,4
和,131
雨水,14
簡單,31
一貧,2
你賴,2
幾莖,4
躲會,3
偶然,2
真理,3
或聰明,4
分離,2
渴盼,3
齋戒,2
這集體,3
點覺,2
誘惑,2
追逐,4
心中,21
這座,12
游樂,6
得不到,2
混沌,2
海洋,27
回憶,16
感到,10
脫下,2
暈眩,2
我會給,11
交出,2
吉普,4
投情,1
凱脫,2
哲今,2
大耳牛,1
崩塌,2
劃下,4
彩券,4
渺無音,8
然後冷戰,2
天央上,3
午夜,4
如蔥,2
午餐,4
蝶,2
耳邊當,6
海浪,9
意念,2
慷慨,10
就要,5
回應,9
星星,8
瓦解,2
光鮮尊,3
稠悵,1
老陳強,1
周之夢為,3
明年,3
森林,9
睡,34
因,7
入,2
陰晴,8
框架,3
看見,29
淪愛讓,2
尋歡,3
永恆,21
輕易,3
揮,14
重見,2
仰,2
遊樂鳥,1
開過,2
跳入,2
輕輕拉著,3
無論,11
詩登登,1
火,2
幻,2
使愛變,6
多到,4
寶貝,7
殘花敗,1
最,57
本能,2
等等,22
赤裸,3
呢喃,1
心上,14
遺囑,2
鄰居,2
快要,8
地亂,2
解出,4
栩栩然,3
饒,2
兌現,4
最爛,5
冬夜,3
黑洞,2
間韶,1
看不懂,6
灰色,2
打通,4
無謂,4
當太陽,2
墜落,16
窩,7
來,224
腐壞,4
小時,1
冬天,10
共渡,5
有救,5
拜,2
冷若冰,2
女人,4
甘心,4
花灑落,2
麵,1
考卷,4
走高,9
最爽,2
光線,8
情,3
成長,14
花梗,2
這危險,3
感受,11
失望,6
醜惡,8
莊子,2
般,3
神態,2
著車,3
悠游,7
悲哀,10
透,4
稱謝,6
燃燒,7
聚,2
要死,2
棄我,2
盡,21
靠,9
口,11
呢,12
眼角,9
照,2
夠鮮艷,1
積水,4
承受,5
韶作,1
否定,10
神音,2
是不是,36
丰姿,4
日子,27
受傷,5
夏宇,3
一起,45
俄然,3
大多,2
花被,2
甚至,15
風雨過,5
狂人,2
上帝,13
吹亂,4
者,3
遮過,4
了,799
恩愛脫,2
受過,3
看,187
的紅,4
煮沸,2
下班,8
龐,2
毒蜘蛛,4
海水,8
當兵,2
習慣,10
地上,18
一趟,6
反覆,26
倥,14
深水,13
逼成,2
深遠,5
語已,4
窗一個,3
終究成,2
無講理,2
逝去,29
玉液,3
醒來,4
芬芳,16
男,7
某刻,5
平息,4
為,100
凋謝,6
千秋,9
看人間,2
左右,7
蟲蟲,2
一致,2
因此,2
千萬里,2
畫一個,11
歐歐,6
命令,2
呢當,2
肯定,6
當然,5
傷心,4
下去,2
歡活,2
惚,2
汝,5
已亮,2
濃縮,2
這夢魘,3
用力,20
更美麗,4
活成,2
用功,2
還遲疑,2
燃起,6
旋轉,6
回想,6
延續,3
一路,14
彼得,1
宋希,1
我飛,4
風兒,4
掀起,5
張溫,2
零,6
蘋果,9
腳步,17
表情,5
要,123
綁,2
或狂,3
落點,2
鏗,4
離別,2
許煙,4
倔強,17
博來,2
分際,2
家凱家,2
纏,2
咬,8
紀念媛媛,1
不輕意,2
心肝,5
不能自己,6
當我要,3
布幔,4
繭還,2
苦澀,1
爆裂,2
墨色,2
深林,2
航線,4
完美,21
被,186
著火,5
表演,17
愛你才,4
心肺,2
傳頌,6
當道,4
我僅,4
卻還,7
綹,4
毛攏,1
傻,19
給你機會,1
沒有,78
最終,4
血,5
天氣,6
燒傷,4
法律,3
我為,2
