word,count
樂人,2
甚至,2
家裡,2
炫耀,1
不,111
昨天,3
關心,4
受,2
下氣氛,3
惡,1
逐流,2
很差,1
比較,4
攤不開,3
傷口,1
身體,2
一定,4
人能夠,1
私語,1
春,3
挑著,4
魚丸,1
旁人,1
沾,2
狂,1
著要,2
所有,33
才,16
濃情,2
時間,4
傷心,4
沒什麼,5
散,3
順其,6
這裡,6
走出,4
樣子,5
刀,2
票根,1
路上,6
鬆,6
煩惱,4
環而非,1
而,62
討人,15
懂以,1
渺小,3
事情,13
哪怕,1
燦爛,6
忍不住,2
火熱,1
綵,3
只有,14
一場,1
冷靜,3
綠紅黑,2
只會,2
狠狠,4
差個,1
豔,5
冷地,2
田野,4
開門,1
日,2
告訴,6
真想,2
剩喜悅,2
累積,2
陽光,6
渴望,10
熱著,2
深夜,1
能夠,4
淺出,1
渴有,1
時刻,3
從,8
點綴,2
垮,4
傻傻,1
獲,4
襲擊,1
狂陽光,1
擔心,3
今夜,10
哄,2
慢慢,3
快樂會,4
人給,2
沒差,2
嗚,1
難看,3
不停,10
不會,15
拾,4
曾經,18
太累,3
今天,14
深奧,1
兩者,1
這樣,7
八門,2
著歌,2
只是,18
紛事,2
不曾,2
存在,6
握手,1
一天,2
焦點,1
額頭,2
愛無狀態,1
終將,6
牽著,2
形狀,1
眾神,2
僵直,2
叫,2
人手,2
然後緊,2
懷,1
愛可要,1
給應,1
萬,2
刁,2
每種,2
如此而已,6
很,18
領略春風,1
如果,13
笛,2
現實,2
收斂,1
許諾,6
懷疑,3
地放縱,2
熱鬧,1
功頌德,2
不是,37
痛真,2
一秒,4
變裡面,2
帶來,1
失去,14
榮幸,4
死,6
滾,1
詮釋,2
站牌,1
藝術,4
從何,3
渾然,3
經愛眷,2
著愛變,1
聊聊,2
難釋,1
奢侈,1
肥沃,2
強烈,2
身影,1
逃避,6
跟,2
人定,2
發行,1
知道,44
多想,3
呀,15
搖美麗剛,1
空人,1
超級,2
掛起,3
並溫,1
時候,19
竟,1
荒唐,2
感想,3
妳是,1
逃,1
出口,8
有傷,4
行走,1
一底,1
田地,1
忐忑,1
著威脅,2
含,2
歌手,1
別視線,1
轉頭,4
舒服,6
放肆,3
留下,14
角落,3
循環,3
口耳,1
一點,10
及格,2
取代,2
幸福,4
可以,20
竟是,5
當不遺,4
說話,5
算計,2
好眠,8
不想,6
隨波,2
已過,3
厭惡,1
聲音,3
注視,3
在乎,1
握著,1
搶,1
溼透,1
好看,3
覺讓,1
山窮水,2
不肯,2
廣袤,4
流淚,2
不得不,1
缺乏,1
若,4
可,9
停止,2
畢竟,1
份,1
牽手,2
很多,3
盡,4
留住,2
大地,1
夏日,2
街燈,1
破舊,2
這,37
貨幣,2
有時,2
這兩者,4
面將,2
生活,28
辦法,2
一群,2
說,70
便,2
錯,3
那些,1
這輩子,3
活,6
竊,4
深愛著,2
捏,6
評,1
比,5
季節裡,2
思量,4
壞,8
努力,1
偽裝,1
流浪,4
南國來,6
不怕,2
還好,1
感慨,2
描著,1
安,1
這個,2
如舊,3
變分,1
心底,1
詩藝,2
模模糊糊,2
裡做,2
親吻,8
笑容,2
陌生,3
斟酌,1
清醒,12
剎那現,3
握有,2
曝露,1
房間,1
明滅,2
刻劃,3
但是,2
還,1
實確,1
穩當,2
縛,3
社交,1
爭吵,2
著以,1
神愛恨,2
彈起,3
地揮汗,1
喜歡,32
那裡,1
等,14
永遠,1
自己,24
自已,2
空氣,2
八道,2
能給,2
等等,2
針立場,2
已,17
開車,1
堅強,2
禍藝術,1
模樣,10
雨,2
帆,2
而是,2
至少,4
讓,63
等待,10
盡去,2
所有人,6
旋律,3
愛人,18
歷事,1
並不讓,1
憂鬱,1
斷,1
上身,2
抹,4
嘩寶貝,2
遲早,1
過街,2
單車,1
飢餓,1
改改,3
整個,6
謙卑,2
做,10
任何,2
再練,1
彩排,3
表達,2
愛最,2
許並,1
已爭,1
意,2
這些,4
沒,24
上下,1
晚餐,1
了不起,1
急,1
亦,4
傷痛,1
快樂艷,1
不能不,2
活到,4
流轉,2
來雙,1
原諒,8
拎,2
賒,1
愛愛愛愛愛愛愛,1
愛眷,1
難到,1
容納,1
眼神,12
仍常想,1
想念,4
呼喊,1
一切,11
各有,1
有毒,2
嘩寶貝倦,6
以面,4
憑,2
任性,2
窗,4
裡沒有,2
開心,1
美有,2
所以,11
熱滾,1
嘴,1
雖然,2
一刻,6
希望,2
放,3
私,1
一片,8
衝撞,1
害怕,4
經愛在,2
片片,1
消滅,2
賣,6
看看,3
祈禱,3
仍然,1
過期,2
一聲,2
並不擁,10
盡裡,1
緣份,3
十分,3
跳得,1
防備,2
排,3
享受,7
深深地,2
甜擁,1
披覆,3
拒絕,2
記著,4
愛情過,2
達握,1
年代,4
這應,1
氣息,2
已經,7
緊時候,1
插,2
想像,2
灼身,2
解渴,1
率真,1
蕩,4
大家,15
只好,3
見,22
相信,4
川流,2
窗畢竟,1
親愛神,3
照片,3
在手,3
賣點,2
得到,5
遠方雨灑,1
目標,2
裡,2
以,9
愛能,2
說明,2
命運,1
探望,1
臉像現,1
神遊戲,1
鐘怎麼,4
中當時,1
